Pressure (P),Temperature (T),Z (Pitzer),Z (PR)
60,314,0.9928174431425503,0.9920784294108579
60,315,0.9931940856051934,0.9924750847587759
60,316,0.993565434264276,0.9928663064685039
60,317,0.9939315723030363,0.9932521789499457
60,318,0.9942925813784337,0.9936327850357314
60,319,0.9946485416535376,0.9940082060164964
60,320,0.9949995318291319,0.9943785216752172
60,321,0.9953456291745593,0.9947438103206458
60,322,0.9956869095578231,0.9951041488198753
70,273,0.966790646501218,0.9678120040697771
70,274,0.9675953526215629,0.9686136403287744
70,275,0.9683877408851429,0.9694031249087136
70,276,0.9691680297455249,0.970180677946366
70,277,0.9699364330900713,0.9709465146557744
70,278,0.9706931603507255,0.9717008454624936
70,279,0.9714384166117301,0.9724438761334359
70,280,0.9721724027143722,0.973175807902521
70,281,0.9728953153588488,0.9738968375922589
70,282,0.9736073472033426,0.9746071577314325
70,283,0.9743086869603919,0.9753069566690302
70,284,0.9749995194906385,0.9759964186845661
70,285,0.975680025894035,0.9766757240949174
70,286,0.9763503835985875,0.9773450493578183
70,287,0.9770107664467088,0.9780045671721244
70,288,0.977661344779255,0.9786544465749627
70,289,0.9783022855173158,0.9792948530359015
70,290,0.9789337522418236,0.9799259485482139
70,291,0.9795559052710503,0.9805478917173753
70,292,0.9801689017360526,0.9811608378468673
70,293,0.9807728956541266,0.981764939021395
70,294,0.9813680380003323,0.9823603441876002
70,295,0.9819544767771441,0.982947199232387
70,296,0.9825323570822819,0.9835256470588978
70,297,0.9831018211747784,0.9840958276602547
70,298,0.9836630085393311,0.9846578781911385
70,299,0.984216055948992,0.9852119330372685
70,300,0.9847610975262411,0.9857581238828633
70,301,0.9852982648024918,0.9862965797761508
70,302,0.9858276867760736,0.986827427192994
70,303,0.9863494899687335,0.9873507900986846
70,304,0.9868637984807035,0.9878667900079916
70,305,0.9873707340443689,0.9883755460434902
70,306,0.9878704160765834,0.9888771749922519
70,307,0.9883629617296646,0.9893717913609403
70,308,0.9888484859411101,0.9898595074293728
70,309,0.9893271014820693,0.99034043330258
70,310,0.989798919004606,0.9908146769614407
70,311,0.9902640470877861,0.9912823443119014
70,312,0.9907225922826225,0.9917435392328559
70,313,0.991174659155909,0.9921983636227296
70,314,0.9916203503329752,0.9926469174447756
70,315,0.9920597665393923,0.9930892987711576
70,316,0.9924930066416553,0.9935256038258501
70,317,0.9929201676868756,0.993955927026375
70,318,0.993341344941506,0.9943803610244408
70,319,0.9937566319291271,0.994798996745488
70,320,0.9941661204673206,0.995211923427201
70,321,0.9945699007036525,0.9956192286569937
70,322,0.9949680611507936,0.996020998408526
80,273,0.9620464531442492,0.966606916229568
80,274,0.9629661172817863,0.9674817117137947
80,275,0.9638717038687348,0.9683432496044101
80,276,0.9647634625663142,0.9691917693848999
80,277,0.9656416378172242,0.9700275052064331
80,278,0.9665064689722577,0.970850686032289
80,279,0.9673581904134059,0.9716615357776102
80,280,0.9681970316735682,0.9724602734446716
