Pressure (P),Temperature (T),Z (Pitzer),Z (PR),Z (RK)
30,302,0.9515534053677526,0.9396678912039019,0.9495005618794512
30,303,0.952152072160529,0.9403700100564356,0.9501225490364704
30,304,0.9527430501323547,0.9410630549681396,0.9507360934019364
30,305,0.953326459216238,0.9417471769736241,0.9513413414509588
30,306,0.9539024171096459,0.942422523903138,0.9519384364543417
30,307,0.9544710393231496,0.9430892404673662,0.9525275185651441
30,308,0.9550324392278593,0.9437474683394939,0.9531087249023888
30,309,0.95558672810168,0.9443973462346255,0.9536821896320693
30,310,0.9561340151744241,0.9450390099866796,0.9542480440455297
30,311,0.9566744076718097,0.9456725926228451,0.9548064166353296
30,312,0.9572080108583789,0.9462982244357003,0.9553574331686983
30,313,0.9577349280793631,0.9469160330530539,0.9559012167586498
30,314,0.9582552608015258,0.9475261435056461,0.9564378879328694
30,315,0.9587691086530103,0.9481286782927367,0.9569675647004308
30,316,0.9592765694622213,0.9487237574456803,0.9574903626164548
30,317,0.9597777392957639,0.9493114985895739,0.9580063948447406
30,318,0.9602727124954687,0.949892017003023,0.9585157722185031
30,319,0.960761581714526,0.9504654256761056,0.9590186032992283
30,320,0.9612444379527534,0.9510318353666103,0.9595149944337473
30,321,0.9617213705910215,0.951591354654584,0.9600050498095969
30,322,0.9621924674248579,0.9521440899952728,0.9604888715086943
40,273,0.906952668763269,0.8877864640742477,0.903514553753082
40,274,0.9081339397136131,0.8891996314942541,0.9048019649323331
40,275,0.9092986621877714,0.8905911759342089,0.9060686780675686
40,276,0.9104471200588754,0.8919615485165403,0.9073151408343458
40,277,0.9115795913664837,0.8933111877063078,0.9085417880779203
40,278,0.9126963484566692,0.8946405197749787,0.9097490422880015
40,279,0.9137976581182532,0.8959499592427735,0.9109373140514767
40,280,0.914883781715308,0.8972399093007734,0.9121070024844071
40,281,0.9159549753160412,0.8985107622139493,0.9132584956443823
40,282,0.9170114898181735,0.8997628997061067,0.9143921709243519
40,283,0.918053571070919,0.9009966933278003,0.9155083954289536
40,284,0.9190814599936693,0.9022125048080845,0.9166075263342359
40,285,0.9200953926914839,0.9034106863909832,0.9176899112317174
40,286,0.9210956005674822,0.9045915811574912,0.9187558884575668
40,287,0.9220823104322317,0.9057555233338481,0.9198057874077101
40,288,0.9230557446102223,0.9069028385868086,0.9208399288395763
